cust ID,store_id,receiver_ID_highest,cust_rec_ID,cust name,add1,add2,suburb,state,country,postcode,sub_lat,sub_long,group,rep,store_lat,store_long,total_tw_purchases,total_fy23_sales_out,tw_purchases,fy23_sales
2BUN4040,4040,4532,2BUN40404532,BUNNINGS - BELCONNEN - 4040,CNR LATHLAIN ST , BELCONNEN WAY,BELCONNEN,ACT,Australia,2617,-35.237,149.065,BUNNINGS,2SW,-35.23966035,149.0632934,174047,276068,19,14
2BUN4060,4060,4342,2BUN40604342,BUNNINGS - MITCHELL TRADE,92 - 94 VICARS STREET,,MITCHELL,ACT,Australia,2911,-35.215278,149.140833,BUNNINGS,2JDN,-35.20968061,149.1398639,256233,109795,8,2
2BUN7016,7016,4553,2BUN70164553,BUNNINGS - MINCHINBURY - 7016,CNR JOHN HINES AVE  ,GRT WEST HWY,MINCHINBURY,NSW,Australia,2770,-33.7862557,150.8173282,BUNNINGS,2RO,-33.77987814,150.810413,221639,354746,17,1
2BUN7071,7071,4364,2BUN70714364,BUNNINGS - ROCKDALE,CNR WEST BOTANY STREET ,& ROCKDALE,ROCKDALE,NSW,Australia,2216,-33.95329,151.13996,BUNNINGS,2JN,-33.95467343,151.1465968,148725,231306,2,12
2BUN7080,7080,3113,2BUN70803113,BUNNINGS - DUBBO - 7080,CNR MITCHELL H/WAY  SHERATON,,DUBBO,NSW,Australia,2830,-32.2315018,148.6329645,BUNNINGS,2JNA,-32.26107365,148.6459608,196062,287267,5,4
2BUN7088,7088,4572,2BUN70884572,BUNNINGS - MAITLAND - 7088,Cnr New England Highway ,Bungaree road,MAITLAND,NSW,Australia,2320,-32.7383988,151.5492182,BUNNINGS,2MF,-32.73921478,151.551743,270270,437929,4,12
2BUN7091,7091,4389,2BUN70914389,BUNNINGS - MUDGEE - 7091,CNR CASTLEREACH  ,BURRUDULLA ROAD,MUDGEE,NSW,Australia,2850,-32.6144566,149.5733291,BUNNINGS,2SS,-32.5839107,149.5710667,53938,85452,14,16
2BUN7096,7096,3230,2BUN70963230,BUNNINGS - MCGRATHS HILL,264-272 WINDSOR ROAD,,McGRATHS HILL,NSW,Australia,2756,-33.61939,150.84304,BUNNINGS,2SS,-33.6130906,150.8318288,149545,237362,14,20
2BUN7152,7152,3252,2BUN71523252,BUNNINGS - THORNLEIGH - 7152,CNR PHYLLIS AVE &,,THORNLEIGH,NSW,Australia,2120,-33.7219807,151.0849848,BUNNINGS,2RO,-33.72776477,151.0825996,161903,255851,12,11
2BUN7168,7168,4526,2BUN71684526,BUNNINGS - BELROSE - 7168,LOT 90 AUSTLINK CORP PK ,NIANGA CLOSE,BELROSE,NSW,Australia,2085,-33.73,151.22,BUNNINGS,2RO,-33.73432736,151.1989007,247541,381438,18,18
2BUN7175,7175,4375,2BUN71754375,BUNNINGS - ASHFIELD - 7175,CNR PARRAMATTA RD  ,FREDERICK STREET,ASHFIELD,NSW,Australia,2131,-33.8889,151.1249,BUNNINGS,2TD,-33.885885,151.1374437,196299,310453,14,9
