Row Labels,ADL,FNQ,NSW,PER,QLD,VIC
800,1,0,0,0,0,0
810,1,0,0,0,0,0
820,1,0,0,0,0,0
821,1,0,0,0,1,0
828,1,0,0,0,0,0
829,1,0,0,0,0,0
830,1,0,0,0,0,0
831,1,0,0,0,0,0
835,1,0,0,0,0,0
836,1,0,0,0,0,0
837,1,0,0,0,0,0
839,1,0,0,0,0,0
850,1,0,0,0,0,0
854,1,0,0,0,0,0
861,1,0,0,0,0,0
867,1,0,0,0,0,0
870,1,0,0,0,0,0
871,1,0,0,0,0,0
880,1,0,0,0,0,0
1570,0,0,1,0,0,0
1715,0,0,1,0,0,0
2000,0,0,1,0,0,0
2008,0,0,1,0,0,0
2010,0,0,1,0,0,0
2011,0,0,1,0,0,0
2012,0,0,1,0,0,0
2015,0,0,1,0,0,0
2016,0,0,1,0,0,0
2017,0,0,1,0,0,0
2018,0,0,1,0,0,0
2019,0,0,1,0,0,0
2020,0,0,1,0,0,0
2021,0,0,1,0,0,0
2022,0,0,1,0,0,0
2024,0,0,1,0,0,0
2026,0,0,1,0,0,0
2028,0,0,1,0,0,0
2029,0,0,1,0,0,0
2032,0,0,1,0,0,0
2035,0,0,1,0,0,0
2036,0,0,1,0,0,0
2038,0,0,1,0,0,0
2039,0,0,1,0,0,0
2040,0,0,1,0,0,0
2041,0,0,1,0,0,0
2042,0,0,1,0,0,0
2044,0,0,1,0,0,0
2045,0,0,1,0,0,0
2046,0,0,1,0,0,0
2049,0,0,1,0,0,0
2050,0,0,1,0,0,0
2060,0,0,1,0,0,0
2064,0,0,1,0,0,0
2065,0,0,1,0,0,0
2067,0,0,1,0,0,0
2068,0,0,1,0,0,0
2072,0,0,1,0,0,0
2073,0,0,1,0,0,0
2074,0,0,1,0,0,0
2077,0,0,1,0,0,0
2079,0,0,1,0,0,0
2080,0,0,1,0,0,0
2081,0,0,1,0,0,0
2084,0,0,1,0,0,0
2085,0,0,1,0,0,0
2086,0,0,1,0,0,0
2087,0,0,1,0,0,0
2088,0,0,1,0,0,0
2090,0,0,1,0,0,0
2093,0,0,1,0,0,0
2099,0,0,1,0,0,0
2100,0,0,1,0,0,0
2101,0,0,1,0,0,0
2102,0,0,1,0,0,0
2103,0,0,1,0,0,0
2107,0,0,1,0,0,0
2111,0,0,1,0,0,0
2113,0,0,1,0,0,0
2114,0,0,1,0,0,0
2116,0,0,1,0,0,0
2117,0,0,1,0,0,0
2118,0,0,1,0,0,0
2120,0,0,1,0,0,0
2121,0,0,1,0,0,0
2125,0,0,1,0,0,0
2128,0,0,1,0,0,0
2131,0,0,1,0,0,0
2133,0,0,1,0,0,0
2136,0,0,1,0,0,0
2141,0,0,1,0,0,0
2142,0,0,1,0,0,0
2143,0,0,1,0,0,0
2144,0,0,1,0,0,0
2145,0,0,1,0,0,0
2147,0,0,1,0,1,0
2148,0,0,1,0,0,0
2150,0,0,1,0,0,0
2151,0,0,1,0,0,0
2152,0,0,1,0,0,0
2153,0,0,1,0,0,0
2154,0,0,1,0,0,0
2155,0,0,1,0,0,0
2156,0,0,1,0,0,0
2158,0,0,1,0,0,0
2159,0,0,1,0,0,0
2160,0,0,1,0,0,0
2161,0,0,1,0,0,0
2162,0,0,1,0,0,0
2163,0,0,1,0,0,0
2164,0,0,1,0,0,0
2165,0,0,1,0,0,0
2166,0,0,1,0,0,0
2170,0,0,1,0,0,1
2171,0,0,1,0,0,0
2177,0,0,1,0,0,0
2178,0,0,1,0,0,0
2179,0,0,1,0,0,0
2190,0,0,1,0,0,0
2192,0,0,1,0,0,0
2193,0,0,1,0,0,0
2194,0,0,1,0,0,0
2195,0,0,1,0,0,0
2196,0,0,1,0,0,0
2200,0,0,1,0,0,0
2203,0,0,1,0,0,0
2204,0,0,1,0,0,0
2205,0,0,1,0,0,0
2206,0,0,1,0,0,0
2207,0,0,1,0,0,0
2208,0,0,1,0,0,0
2210,0,0,1,0,0,0
2211,0,0,1,0,0,0
2212,0,0,1,0,0,0
2214,0,0,1,0,0,0
2216,0,0,1,0,0,0
2217,0,0,1,0,0,0
2218,0,0,1,0,0,0
2221,0,0,1,0,0,0
2223,0,0,1,0,0,0
2227,0,0,1,0,0,0
2228,0,0,1,0,0,0
2229,0,0,1,0,0,0
2232,0,0,1,0,0,0
2233,0,0,1,0,0,0
2234,0,0,1,0,0,0
2250,0,0,1,0,0,0
2251,0,0,1,0,0,0
2256,0,0,1,0,0,0
2257,0,0,1,0,0,0
2258,0,0,1,0,0,0
2259,0,0,1,0,0,0
2261,0,0,1,0,0,0
2263,0,0,1,0,0,0
2264,0,0,1,0,0,0
2265,0,0,1,0,0,0
2280,0,0,1,0,0,0
2281,0,0,1,0,0,0
2282,0,0,1,0,0,0
2283,0,0,1,0,0,0
2284,0,0,1,0,0,0
2285,0,0,1,0,0,0
2287,0,0,1,0,0,0
2289,0,0,1,0,0,0
2290,0,0,1,0,0,0
2292,0,0,1,0,0,0
2293,0,0,1,0,0,0
2295,0,0,1,0,0,0
2297,0,0,1,0,0,0
2299,0,0,1,0,0,0
2301,0,0,1,0,0,0
2303,0,0,1,0,0,0
2304,0,0,1,0,0,0
2306,0,0,1,0,0,0
2310,0,0,1,0,0,0
2312,0,0,1,0,0,0
2317,0,0,1,0,0,0
2318,0,0,1,0,0,0
2320,0,0,1,0,0,0
